Academic_Year,County_Code,District_Code,School_Code,County_Name,District_Name,School_Name,District_Type,School_Type,Educational_Option_Type,NSLP_Provision_Status,Charter_School,Charter_School_Number,Charter_Funding_Type,IRC,Low_Grade,High_Grade,Enrollment_K12,Free_Meal_Count_K12,Percent_Eligible_Free_K12,FRPM_Count_K12,Percent_Eligible_FRPM_K12,Enrollment_Ages5_17,Free_Meal_Count_Ages_5_17,Percent_Eligible_Free_Ages_5_17,FRPM_Count_Ages_5_17,Percent_Eligible_FRPM_Ages_5_17,2015-16_CALPADS_Fall_1_Certification_Status
2014-2015,01,61176,6000673,Alameda,Fremont Unified,James Leitch Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,3,"1,075",29,2.7%,34,3.2%,"1,075",29,2.7%,34,3.2%,Y
2014-2015,01,61176,6000681,Alameda,Fremont Unified,Joseph Azevada Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,589,97,16.5%,136,23.1%,587,97,16.5%,136,23.2%,Y
2014-2015,01,61176,6000715,Alameda,Fremont Unified,Tom Maloney Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,596,144,24.2%,161,27.0%,579,141,24.4%,157,27.1%,Y
2014-2015,01,61176,6000723,Alameda,Fremont Unified,John G. Mattos Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,625,78,12.5%,89,14.2%,625,78,12.5%,89,14.2%,Y
2014-2015,01,61176,6000749,Alameda,Fremont Unified,Mission Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,645,33,5.1%,43,6.7%,645,33,5.1%,43,6.7%,Y
2014-2015,01,61176,6000756,Alameda,Fremont Unified,Niles Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,606,40,6.6%,57,9.4%,606,40,6.6%,57,9.4%,Y
2014-2015,01,61176,6000764,Alameda,Fremont Unified,O. N. Hirsch Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,540,108,20.0%,123,22.8%,538,107,19.9%,122,22.7%,Y
2014-2015,01,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,919,54,5.9%,68,7.4%,888,53,6.0%,67,7.5%,Y
2014-2015,01,61176,6000806,Alameda,Fremont Unified,Patterson Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,619,123,19.9%,170,27.5%,619,123,19.9%,170,27.5%,Y
2014-2015,01,61176,6000830,Alameda,Fremont Unified,Vallejo Mill Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,552,129,23.4%,144,26.1%,537,127,23.6%,142,26.4%,Y
2014-2015,01,61176,6000848,Alameda,Fremont Unified,Warm Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,3,6,871,21,2.4%,29,3.3%,871,21,2.4%,29,3.3%,Y
2014-2015,01,61176,6056873,Alameda,Fremont Unified,Centerville Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,967,225,23.3%,265,27.4%,967,225,23.3%,265,27.4%,Y
2014-2015,01,61176,6056881,Alameda,Fremont Unified,G. M. Walters Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,725,227,31.3%,282,38.9%,725,227,31.3%,282,38.9%,Y
2014-2015,01,61176,6056907,Alameda,Fremont Unified,John M. Horner Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,"1,030",127,12.3%,158,15.3%,"1,030",127,12.3%,158,15.3%,Y
2014-2015,01,61176,6056915,Alameda,Fremont Unified,Thornton Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,"1,156",154,13.3%,200,17.3%,"1,156",154,13.3%,200,17.3%,Y
2014-2015,01,61176,6056923,Alameda,Fremont Unified,William Hopkins Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,990,23,2.3%,30,3.0%,990,23,2.3%,30,3.0%,Y
2014-2015,01,61176,6066468,Alameda,Fremont Unified,John Gomes Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,778,16,2.1%,17,2.2%,752,16,2.1%,17,2.3%,Y
2014-2015,01,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,658,49,7.4%,60,9.1%,586,45,7.7%,55,9.4%,Y
2014-2015,01,61176,6089619,Alameda,Fremont Unified,Warwick Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,862,132,15.3%,160,18.6%,862,132,15.3%,160,18.6%,Y
2014-2015,01,61176,6090526,Alameda,Fremont Unified,Joshua Chadbourne Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,833,35,4.2%,44,5.3%,833,35,4.2%,44,5.3%,Y
2014-2015,01,61176,6090534,Alameda,Fremont Unified,Mission San Jose Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,624,12,1.9%,13,2.1%,611,10,1.6%,11,1.8%,Y
2014-2015,01,61176,6090542,Alameda,Fremont Unified,Oliveira Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,695,102,14.7%,131,18.8%,695,102,14.7%,131,18.8%,Y
2014-2015,01,61176,6090559,Alameda,Fremont Unified,Steven Millard Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,600,109,18.2%,138,23.0%,595,109,18.3%,138,23.2%,Y
2014-2015,01,61176,6104723,Alameda,Fremont Unified,Ardenwood Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,965,54,5.6%,71,7.4%,948,54,5.7%,71,7.5%,Y
2014-2015,01,61176,6106983,Alameda,Fremont Unified,Fred E. Weibel Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,853,30,3.5%,36,4.2%,821,29,3.5%,35,4.3%,Y
2014-2015,01,61176,6111330,Alameda,Fremont Unified,Forest Park Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,"1,028",30,2.9%,40,3.9%,"1,028",30,2.9%,40,3.9%,Y
2014-2015,01,61192,0000001,Alameda,Hayward Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,89,25,28.1%,25,28.1%,69,25,36.2%,25,36.2%,Y
